Provider	CompanyName	OrganizationNumber	SupportedMessageTypes
Websystemer AS	Aktiv Eiendomsoppgjør AS	984484496	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Aure & Valskaar AS	980132455	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Aure Valskaar & Odden AS	988320161	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Bankenes Boligmegler AS	981129792	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Boli Eiendom Namsos AS	994969315	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Boli Eiendomsmegling AS	993609145	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Eie Økonomi AS	990025983	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Fjordane Advokatkontor AS	992225173	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Frognerveien Eiendomsmegling AS	994397516	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Grünerløkka og Torshov Eiendomsmegling AS	884030862	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Hemne og Orkladal Eiendomsmegling AS	913118219	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Indre Sogn Sparebank Eigedomsmekling AS	984032404	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Kvelland & Partnere AS	994887580	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Meglerhuset Bodø AS	997230094	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Meglerhuset Leinæs AS	980407551	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Megleroppgjør AS	982577675	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Nordvik & Partners Eiendomsmegling  Ullevål AS	917427925	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Nordvik & Partners Kompetansesenter AS	814449912	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Nyeboliger AS	997812824	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	OBOS Eiendomsmeglere AS	977040949	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Oppdal Eiendomsmegling AS	913368002	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Sagene og Bjølsen Eiendomsmegling AS	989734598	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Skedsmo Eiendomsmegling AS	997701151	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Smart Bolig- og Næringsmegling AS	998162068	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Solvang & Aanes AS	911838516	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Stray & co Eiendomsmegling AS	984656610	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Trondheim Aktiv Eiendomsmegling AS	913124790	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	WebOppgjør AS	983570658	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Z-Eiendom AS	988024082	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Boligbyggelagene i Norge Oppgjør AS	913136144	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Oppegård Eiendomsmegling AS	996459179	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Borgås & Partnere AS	994957082	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Valdres Eiendomskontor AS	979870167	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Aktiv Hordaland AS	993404020	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Vestfold Eiendomsmegling AS	955607171	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Nordvest Eiendomsmegling AS	918152822	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Møller & Partners AS	993828645	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Park Eiendomsmegling AS	987291052	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	REDE Eiendomsmegling AS	979158580	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Jan G. Lilledal AS	938566259	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Solli & Partnere AS	888622152	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Fremtiden Eiendomsmegling AS	982253896	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Allé Eiendomsmegling AS	914594863	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Aveny Eiendomsmegling AS	989768093	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Fram Eiendomsmegling AS	991458409	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Larvik Eiendomsmegling AS	992829893	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Oppgjørsservice AS	992767022	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Panorama Eiendomsmegling AS	990329923	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Sem & Johnsen Oppgjør AS	999638996	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Halden Boligsenter AS	990451613	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Berg Sparebank Eiendomsmegling AS	985485925	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Braastad Eiendom AS	989308564	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Brustad & Partnere AS	996534235	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Eiendomsmegleren DIN Telemark AS	990269637	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Frode Eriksen AS	979951671	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Skjøren & Partners AS	980929884	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Proaktiv Bolig og Prosjektmegling AS	997034902	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Sparebankenes Eiendomsmegler AS	932672065	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Sør-Vest Megleren AS	914747929	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Noroppgjør AS	986956204	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Dialog Eiendomsmegling AS	937789416	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Bergesen & Partnere AS	987122781	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Exbo Sørlandet AS	986857044	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Liavaag Eiendom AS	993479470	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Thøgersen & Partnere AS	996300730	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Aktiv Oppgjør AS	987281758	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Megleroppgjøret AS	991076190	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Strømmen Eiendomsmegling AS	912307301	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Børke & Partners AS	987234539	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Wangensten & Partners AS	994303260	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Ullevål Eiendomsmegling AS	997583183	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Pacta Eiendom AS	983374654	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Privatmegleren Renommé AS	992274395	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Metro Eiendomsmegling AS	997616170	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Dyve & Partnere Eiendomsmegling AS	912302180	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Kursiv Eiendomsmegling AS	914730112	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Seim & Skillebæk A	985403368	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Gjensidige Bolighandel AS	919162384	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Marton Norway AS	917624550	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Vestoppgjør	920376355	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Valle Eiendomsmegling AS	919865075	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Boa Eiendomsmegling Oslo Vest AS 	913439880	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Tjuvholmen Eiendomsmegling AS	921176333	SignedMortgageDeed,SignedMortgageDeedProcessed
